customer_id,total_revenue,total_orders,total_items,first_purchase,last_purchase,avg_order_value,recency_days,r_score,f_score,m_score,rfm_score,segment
10032,28.6,1,14,2010-12-15 16:48:00,2010-12-15 16:48:00,28.6,359,2,1,1,4,Lost
10033,84.04,2,34,2010-11-01 11:06:00,2010-12-21 11:30:00,42.02,354,2,1,3,6,At Risk
10034,126.38,3,58,2010-03-30 15:00:00,2010-12-28 10:07:00,42.13,347,2,3,3,8,Potential Loyalists
10035,309.42,9,105,2010-10-18 10:05:00,2011-11-29 15:38:00,34.38,11,5,5,5,15,Champions
10036,415.18,4,137,2010-09-29 11:30:00,2010-12-06 10:01:00,103.8,369,1,4,5,10,Loyal Customers
10037,257.05,2,28,2011-05-23 17:58:00,2011-09-22 13:47:00,128.52,79,4,1,5,10,Loyal Customers
10038,158.64000000000001,4,59,2011-04-26 07:19:00,2011-12-08 07:56:00,39.66,2,5,4,4,13,Champions
10039,78.93,2,29,2011-03-25 10:43:00,2011-12-01 12:57:00,39.47,9,5,1,2,8,Potential Loyalists
10040,670.29,6,159,2010-07-07 09:16:00,2011-11-08 06:48:00,111.71,32,5,5,5,15,Champions
10042,117.16,2,43,2011-01-04 10:53:00,2011-11-29 11:48:00,58.58,11,5,1,3,9,Potential Loyalists
10043,21.2,1,8,2011-10-21 13:56:00,2011-10-21 13:56:00,21.2,50,4,1,1,6,At Risk
10044,44.2,3,17,2010-01-20 10:45:00,2011-12-05 12:05:00,14.73,5,5,3,2,10,Loyal Customers
10046,111.29,2,29,2011-06-13 16:06:00,2011-08-25 09:30:00,55.64,107,3,1,3,7,Potential Loyalists
10047,205.79,4,73,2010-02-08 13:38:00,2011-11-29 10:20:00,51.45,11,5,4,4,13,Champions
10048,246.13,5,75,2009-12-07 11:22:00,2011-06-15 10:00:00,49.23,178,3,5,4,12,Loyal Customers
10049,119.17,2,73,2010-10-12 09:34:00,2011-07-14 09:28:00,59.58,149,3,1,3,7,Potential Loyalists
10050,85.45,3,16,2010-02-09 08:07:00,2011-04-22 14:18:00,28.48,232,2,3,3,8,Potential Loyalists
10051,64.6,2,36,2010-07-22 07:56:00,2010-09-21 14:29:00,32.3,445,1,1,2,4,Lost
10052,231.35,6,87,2010-03-31 21:10:00,2011-06-24 11:03:00,38.56,169,3,5,4,12,Loyal Customers
10053,301.35,4,91,2009-12-01 08:48:00,2011-09-06 13:49:00,75.34,95,4,4,5,13,Champions
10054,102.14999999999999,3,13,2009-12-23 11:34:00,2011-11-21 12:11:00,34.05,19,5,3,3,11,Loyal Customers
10055,9.95,1,13,2010-06-02 13:39:00,2010-06-02 13:39:00,9.95,556,1,1,1,3,Lost
10056,115.74,2,40,2010-04-08 11:09:00,2010-10-23 14:03:00,57.87,413,1,1,3,5,At Risk
10057,436.82,3,137,2010-09-29 07:11:00,2011-07-12 12:25:00,145.61,151,3,3,5,11,Loyal Customers
10058,253.34,4,74,2010-01-20 15:36:00,2011-08-10 11:40:00,63.34,122,3,4,5,12,Loyal Customers
10059,227.62,3,80,2010-03-31 15:24:00,2011-11-25 09:17:00,75.87,15,5,3,4,12,Loyal Customers
10060,56.32,3,16,2010-10-06 09:19:00,2011-11-09 17:12:00,18.77,30,5,3,2,10,Loyal Customers
10062,114.22000000000001,3,50,2010-07-29 09:14:00,2011-11-15 12:42:00,38.07,25,5,3,3,11,Loyal Customers
10063,144.84,3,50,2011-02-16 08:56:00,2011-10-21 11:57:00,48.28,50,4,3,4,11,Loyal Customers
10064,31.95,2,17,2011-01-24 13:49:00,2011-05-06 14:00:00,15.98,218,2,1,1,4,Lost
10065,138.76,7,57,2010-04-09 15:27:00,2011-11-24 10:05:00,19.82,16,5,5,3,13,Champions
10066,152.55,1,34,2011-12-06 11:10:00,2011-12-06 11:10:00,152.55,4,5,1,4,10,Loyal Customers
10067,133.2,2,60,2010-11-15 10:03:00,2010-11-22 12:15:00,66.6,383,1,1,3,5,At Risk
10068,37.8,2,20,2010-10-19 10:23:00,2011-04-13 08:53:00,18.9,241,2,1,2,5,At Risk
10069,174.76,4,64,2009-12-28 15:39:00,2011-10-18 12:53:00,43.69,53,4,4,4,12,Loyal Customers
10070,162.79,1,37,2011-08-31 09:50:00,2011-08-31 09:50:00,162.79,101,3,1,4,8,Potential Loyalists
10071,102.61,3,35,2010-06-08 13:58:00,2011-12-09 12:32:00,34.2,1,5,3,3,11,Loyal Customers
10072,29.8,1,24,2010-04-08 11:06:00,2010-04-08 11:06:00,29.8,611,1,1,1,3,Lost
10073,39.36,1,16,2010-01-28 10:02:00,2010-01-28 10:02:00,39.36,681,1,1,2,4,Lost
10074,37.35,2,12,2010-10-21 10:51:00,2010-11-17 14:15:00,18.68,388,1,1,2,4,Lost
10075,3.0999999999999996,1,2,2010-12-09 15:55:00,2010-12-09 15:55:00,3.1,366,2,1,1,4,Lost
10076,5.1,1,2,2010-09-06 17:08:00,2010-09-06 17:08:00,5.1,459,1,1,1,3,Lost
10077,10.17,1,3,2010-09-28 12:40:00,2010-09-28 12:40:00,10.17,438,1,1,1,3,Lost
10078,26.35,1,7,2010-03-19 08:43:00,2010-03-19 08:43:00,26.35,631,1,1,1,3,Lost
10079,403.24,8,91,2009-12-03 13:07:00,2010-12-14 11:21:00,50.4,361,2,5,5,12,Loyal Customers
10080,49.949999999999996,3,29,2010-10-15 14:01:00,2011-06-08 07:43:00,16.65,185,3,3,2,8,Potential Loyalists
10081,164.55,5,87,2010-03-23 13:04:00,2011-11-18 20:33:00,32.91,21,5,5,4,14,Champions
10082,129.35,2,15,2011-03-01 15:08:00,2011-12-09 11:07:00,64.68,1,5,1,3,9,Potential Loyalists
10083,321.15999999999997,7,81,2009-12-07 09:33:00,2011-11-25 08:26:00,45.88,15,5,5,5,15,Champions
10084,57.6,2,24,2010-06-17 13:43:00,2011-07-28 08:12:00,28.8,135,3,1,2,6,At Risk
10085,9.24,1,4,2011-01-17 14:19:00,2011-01-17 14:19:00,9.24,327,2,1,1,4,Lost
10086,140.6,3,14,2010-06-17 14:44:00,2011-09-20 07:13:00,46.87,81,4,3,3,10,Loyal Customers
10087,411.98,4,63,2010-04-07 13:27:00,2011-06-15 09:40:00,103.0,178,3,4,5,12,Loyal Customers
10088,3.4,1,4,2011-09-23 12:20:00,2011-09-23 12:20:00,3.4,78,4,1,1,6,At Risk
10089,47.69,2,20,2010-06-11 08:19:00,2011-03-31 19:23:00,23.84,253,2,1,2,5,At Risk
10090,48.14,2,33,2010-10-14 12:24:00,2011-11-30 11:21:00,24.07,10,5,1,2,8,Potential Loyalists
10091,43.14,1,24,2011-09-07 11:04:00,2011-09-07 11:04:00,43.14,94,4,1,2,7,Potential Loyalists
10093,93.83,3,31,2010-02-02 09:40:00,2011-04-27 09:13:00,31.28,227,2,3,3,8,Potential Loyalists
10094,164.13,5,41,2010-05-18 08:31:00,2011-08-31 12:31:00,32.83,101,3,5,4,12,Loyal Customers
10095,100.56,5,53,2010-07-05 08:58:00,2011-07-12 12:01:00,20.11,151,3,5,3,11,Loyal Customers
10096,84.53,1,31,2010-04-13 14:38:00,2010-04-13 14:38:00,84.53,606,1,1,3,5,At Risk
10097,91.66,2,46,2011-03-30 08:23:00,2011-05-02 09:21:00,45.83,222,2,1,3,6,At Risk
10098,548.96,3,108,2009-12-29 06:23:00,2011-07-07 08:34:00,182.99,156,3,3,5,11,Loyal Customers
10099,11.55,2,7,2010-02-26 08:18:00,2011-08-03 08:43:00,5.78,129,3,1,1,5,At Risk
10100,21.0,2,12,2010-02-08 10:29:00,2011-07-01 09:55:00,10.5,162,3,1,1,5,At Risk
10101,85.64999999999999,5,44,2009-12-24 13:18:00,2011-11-07 11:30:00,17.13,33,5,5,3,13,Champions
10103,212.26,4,78,2010-10-18 11:45:00,2011-11-14 08:41:00,53.06,26,5,4,4,13,Champions
10104,328.05,4,112,2010-03-03 13:43:00,2011-01-07 09:29:00,82.01,337,2,4,5,11,Loyal Customers
10105,59.690000000000005,2,25,2010-11-08 13:50:00,2010-12-17 13:13:00,29.85,358,2,1,2,5,At Risk
10106,27.3,2,10,2010-11-18 13:31:00,2011-04-18 08:02:00,13.65,236,2,1,1,4,Lost
10107,382.22,1,127,2011-11-02 06:13:00,2011-11-02 06:13:00,382.22,38,4,1,5,10,Loyal Customers
10108,352.47,4,51,2010-03-11 13:10:00,2011-11-01 14:22:00,88.12,39,4,4,5,13,Champions
10109,7.640000000000001,2,6,2011-01-24 09:16:00,2011-07-21 08:09:00,3.82,142,3,1,1,5,At Risk
10110,203.95,4,52,2010-10-07 15:38:00,2011-11-30 09:32:00,50.99,10,5,4,4,13,Champions
10111,359.84,4,78,2010-04-09 10:43:00,2011-09-13 12:21:00,89.96,88,4,4,5,13,Champions
10112,20.8,2,10,2009-12-09 10:35:00,2011-03-08 11:14:00,10.4,277,2,1,1,4,Lost
10113,238.4,2,79,2011-05-19 20:37:00,2011-07-29 08:13:00,119.2,134,3,1,4,8,Potential Loyalists
10114,302.26,7,124,2010-03-03 22:33:00,2011-10-21 10:43:00,43.18,50,4,5,5,14,Champions
10115,82.58,3,35,2010-12-24 10:28:00,2011-12-05 14:53:00,27.53,5,5,3,3,11,Loyal Customers
10116,51.54,3,15,2010-10-25 10:36:00,2011-04-22 10:15:00,17.18,232,2,3,2,7,Potential Loyalists
10117,208.83,5,86,2010-12-29 11:31:00,2011-10-17 07:15:00,41.77,54,4,5,4,13,Champions
10118,136.14000000000001,4,44,2010-11-19 11:06:00,2011-03-22 10:48:00,34.04,263,2,4,3,9,Potential Loyalists
10119,6.78,1,2,2010-09-23 11:22:00,2010-09-23 11:22:00,6.78,443,1,1,1,3,Lost
10120,27.87,3,7,2010-08-16 14:00:00,2011-06-16 08:08:00,9.29,177,3,3,1,7,Potential Loyalists
10121,139.99,2,39,2009-12-11 14:22:00,2010-11-04 19:24:00,70.0,400,1,1,3,5,At Risk
10122,159.5,5,20,2010-04-16 13:09:00,2011-11-10 09:12:00,31.9,30,5,5,4,14,Champions
10123,1.65,1,1,2011-08-02 11:43:00,2011-08-02 11:43:00,1.65,130,3,1,1,5,At Risk
10124,253.53,2,88,2011-06-02 11:00:00,2011-09-14 12:07:00,126.76,87,4,1,5,10,Loyal Customers
10126,225.4,2,47,2010-09-30 14:20:00,2011-01-26 11:02:00,112.7,318,2,1,4,7,Potential Loyalists
10127,224.63,4,107,2010-05-06 08:10:00,2011-07-15 13:56:00,56.16,148,3,4,4,11,Loyal Customers
10128,149.51,4,57,2009-12-22 10:15:00,2011-11-14 09:48:00,37.38,26,5,4,4,13,Champions
10129,44.07,1,15,2010-11-26 12:22:00,2010-11-26 12:22:00,44.07,379,1,1,2,4,Lost
10130,125.42999999999999,5,43,2010-03-19 07:58:00,2011-11-15 21:06:00,25.09,24,5,5,3,13,Champions
10132,318.18,5,78,2010-07-19 09:10:00,2011-08-31 10:05:00,63.64,101,3,5,5,13,Champions
10133,209.93,3,71,2009-12-16 08:22:00,2010-12-13 11:46:00,69.98,362,2,3,4,9,Potential Loyalists
10134,142.17,3,48,2011-03-25 11:33:00,2011-11-01 11:59:00,47.39,39,4,3,3,10,Loyal Customers
10135,115.0,2,39,2010-01-19 08:12:00,2011-11-10 08:43:00,57.5,30,5,1,3,9,Potential Loyalists
10136,121.84,4,26,2010-05-13 07:21:00,2011-09-29 12:42:00,30.46,72,4,4,3,11,Loyal Customers
10137,87.28999999999999,2,25,2010-10-13 11:15:00,2010-12-29 14:13:00,43.64,346,2,1,3,6,At Risk
10138,400.82,6,108,2010-01-14 13:24:00,2011-08-02 14:03:00,66.8,130,3,5,5,13,Champions
10139,79.93,2,27,2010-09-30 16:52:00,2011-08-22 15:00:00,39.97,110,3,1,3,7,Potential Loyalists
10140,258.45,3,35,2009-12-23 09:32:00,2011-10-07 08:56:00,86.15,64,4,3,5,12,Loyal Customers
10141,158.4,4,62,2010-05-05 16:28:00,2011-11-28 14:42:00,39.6,12,5,4,4,13,Champions
10142,86.28,2,9,2010-04-27 14:36:00,2011-11-22 11:00:00,43.14,18,5,1,3,9,Potential Loyalists
10144,140.05,2,37,2010-11-29 12:53:00,2011-12-02 13:51:00,70.03,8,5,1,3,9,Potential Loyalists
10145,464.48,5,135,2010-12-10 14:29:00,2011-10-26 12:01:00,92.9,45,4,5,5,14,Champions
10146,293.64,4,93,2010-01-07 11:43:00,2011-12-02 12:54:00,73.41,8,5,4,5,14,Champions
10147,57.54,2,28,2010-07-09 08:02:00,2011-06-10 14:28:00,28.77,183,3,1,2,6,At Risk
10148,28.05,1,17,2010-05-03 10:35:00,2010-05-03 10:35:00,28.05,586,1,1,1,3,Lost
10149,125.25999999999999,3,60,2010-09-27 06:22:00,2011-06-08 09:44:00,41.75,185,3,3,3,9,Potential Loyalists
10151,49.8,3,19,2010-11-25 09:39:00,2011-07-13 12:27:00,16.6,150,3,3,2,8,Potential Loyalists
10152,79.8,2,8,2010-03-05 10:40:00,2010-03-18 08:07:00,39.9,632,1,1,3,5,At Risk
10153,333.12,5,91,2010-01-29 07:39:00,2011-07-29 11:22:00,66.62,134,3,5,5,13,Champions
10154,16.05,2,3,2010-03-02 21:49:00,2010-10-25 11:56:00,8.02,411,1,1,1,3,Lost
10155,19.2,1,10,2010-11-22 08:46:00,2010-11-22 08:46:00,19.2,383,1,1,1,3,Lost
10156,38.339999999999996,1,14,2010-02-19 15:30:00,2010-02-19 15:30:00,38.34,659,1,1,2,4,Lost
10157,42.24,2,20,2010-06-09 17:19:00,2010-08-19 11:25:00,21.12,478,1,1,2,4,Lost
10158,3.7,1,2,2010-10-04 09:58:00,2010-10-04 09:58:00,3.7,432,1,1,1,3,Lost
10159,335.96,7,127,2009-12-02 07:07:00,2010-12-24 11:41:00,47.99,351,2,5,5,12,Loyal Customers
10160,77.63,3,40,2009-12-07 09:54:00,2011-07-27 16:12:00,25.88,135,3,3,2,8,Potential Loyalists
10161,208.73999999999998,3,72,2011-09-27 16:12:00,2011-11-28 13:51:00,69.58,12,5,3,4,12,Loyal Customers
10162,80.66000000000001,1,33,2010-03-30 12:48:00,2010-03-30 12:48:00,80.66,620,1,1,3,5,At Risk
10163,79.02,4,26,2009-12-31 11:33:00,2011-06-28 11:40:00,19.76,165,3,4,3,10,Loyal Customers
10164,97.86,3,33,2010-01-01 08:20:00,2011-10-13 10:04:00,32.62,58,4,3,3,10,Loyal Customers
10165,46.15,2,25,2010-01-04 15:21:00,2011-04-27 09:18:00,23.08,227,2,1,2,5,At Risk
10166,2.55,1,1,2011-10-13 17:56:00,2011-10-13 17:56:00,2.55,57,4,1,1,6,At Risk
10167,252.0,1,14,2011-06-27 18:58:00,2011-06-27 18:58:00,252.0,165,3,1,5,9,Potential Loyalists
10168,29.4,1,12,2010-03-10 10:54:00,2010-03-10 10:54:00,29.4,640,1,1,1,3,Lost
10169,27.12,1,8,2010-06-23 10:32:00,2010-06-23 10:32:00,27.12,535,1,1,1,3,Lost
10170,260.62,5,62,2009-12-14 05:20:00,2011-07-26 13:51:00,52.12,137,3,5,5,13,Champions
10171,386.58,4,66,2010-03-24 09:53:00,2011-11-14 09:17:00,96.64,26,5,4,5,14,Champions
10172,301.89,4,85,2010-05-10 12:51:00,2011-07-18 08:57:00,75.47,145,3,4,5,12,Loyal Customers
10173,293.71000000000004,6,79,2010-03-29 08:39:00,2011-11-11 17:40:00,48.95,28,5,5,5,15,Champions
10174,58.29,3,23,2010-09-20 10:41:00,2011-05-18 12:09:00,19.43,206,2,3,2,7,Potential Loyalists
10175,67.57000000000001,4,23,2010-02-25 11:18:00,2011-12-02 14:21:00,16.89,8,5,4,2,11,Loyal Customers
10176,22.46,1,8,2011-05-24 11:43:00,2011-05-24 11:43:00,22.46,200,3,1,1,5,At Risk
10177,272.33,7,106,2010-04-30 13:11:00,2011-08-25 07:21:00,38.9,107,3,5,5,13,Champions
10178,251.39000000000001,5,118,2010-03-12 17:07:00,2011-11-17 16:10:00,50.28,23,5,5,5,15,Champions
10179,53.95,2,35,2010-04-12 11:10:00,2010-09-06 10:14:00,26.98,460,1,1,2,4,Lost
10181,269.6,2,79,2010-01-27 07:11:00,2010-08-26 23:34:00,134.8,470,1,1,5,7,Potential Loyalists
10182,108.96000000000001,2,24,2010-08-12 12:05:00,2010-10-11 11:52:00,54.48,425,1,1,3,5,At Risk
10183,0.55,1,1,2010-06-15 07:19:00,2010-06-15 07:19:00,0.55,543,1,1,1,3,Lost
10184,89.82,2,22,2010-07-08 11:49:00,2010-12-03 14:50:00,44.91,372,1,1,3,5,At Risk
10185,353.35,3,91,2010-09-16 11:47:00,2011-09-05 11:33:00,117.78,96,4,3,5,12,Loyal Customers
10186,147.21,2,49,2010-02-03 08:21:00,2010-07-28 09:50:00,73.6,500,1,1,4,6,At Risk
10187,51.74,3,24,2010-11-09 10:50:00,2011-09-13 05:07:00,17.25,88,4,3,2,9,Potential Loyalists
10188,297.9,2,21,2010-06-09 08:51:00,2010-11-12 07:25:00,148.95,393,1,1,5,7,Potential Loyalists
10189,63.03,4,12,2010-05-25 11:08:00,2011-09-30 10:50:00,15.76,71,4,4,2,10,Loyal Customers
10190,1.95,1,1,2011-06-21 14:27:00,2011-06-21 14:27:00,1.95,172,3,1,1,5,At Risk
10191,31.700000000000003,3,28,2010-05-11 10:19:00,2011-04-06 15:56:00,10.57,248,2,3,1,6,At Risk
10192,241.0,4,94,2010-09-24 19:03:00,2011-11-28 08:44:00,60.25,12,5,4,4,13,Champions
10193,51.010000000000005,2,9,2011-07-29 06:50:00,2011-09-16 12:11:00,25.51,85,4,1,2,7,Potential Loyalists
10194,51.85,3,17,2010-04-15 08:37:00,2011-12-07 10:36:00,17.28,3,5,3,2,10,Loyal Customers
10195,35.91,1,9,2010-12-15 11:39:00,2010-12-15 11:39:00,35.91,360,2,1,2,5,At Risk
10196,3.39,1,1,2010-02-09 10:29:00,2010-02-09 10:29:00,3.39,669,1,1,1,3,Lost
10197,3.39,1,1,2010-03-18 12:55:00,2010-03-18 12:55:00,3.39,632,1,1,1,3,Lost
10198,34.45,2,23,2010-07-23 10:34:00,2011-08-04 17:51:00,17.23,127,3,1,2,6,At Risk
10199,22.9,1,14,2011-03-10 10:29:00,2011-03-10 10:29:00,22.9,275,2,1,1,4,Lost
10200,369.26,4,121,2010-12-16 10:20:00,2011-11-10 16:53:00,92.32,29,5,4,5,14,Champions
10201,15.21,2,5,2010-04-30 12:53:00,2010-11-12 10:05:00,7.6,393,1,1,1,3,Lost
10202,162.97,2,55,2010-06-24 14:32:00,2010-11-12 16:32:00,81.48,392,1,1,4,6,At Risk
10203,455.78,5,72,2009-12-03 13:11:00,2011-07-14 07:36:00,91.16,149,3,5,5,13,Champions
10204,330.64,5,103,2010-02-26 08:25:00,2011-11-16 15:06:00,66.13,24,5,5,5,15,Champions
10205,7.29,1,3,2010-12-01 07:35:00,2010-12-01 07:35:00,7.29,374,1,1,1,3,Lost
10206,42.04,1,21,2011-01-27 15:48:00,2011-01-27 15:48:00,42.04,317,2,1,2,5,At Risk
10207,215.70999999999998,2,51,2010-01-12 08:24:00,2010-08-27 12:44:00,107.85,470,1,1,4,6,At Risk
10208,85.19,3,29,2010-10-01 13:43:00,2011-12-02 11:34:00,28.4,8,5,3,3,11,Loyal Customers
10209,126.0,1,7,2010-11-02 08:26:00,2010-11-02 08:26:00,126.0,403,1,1,3,5,At Risk
10210,33.099999999999994,2,8,2011-02-07 16:07:00,2011-07-08 08:15:00,16.55,155,3,1,2,6,At Risk
10211,251.60999999999999,5,69,2010-05-07 09:23:00,2011-04-28 11:40:00,50.32,226,2,5,5,12,Loyal Customers
10212,155.78,4,71,2009-12-16 13:47:00,2010-12-01 08:56:00,38.94,374,1,4,4,9,Potential Loyalists
10213,154.28,1,12,2011-01-03 10:53:00,2011-01-03 10:53:00,154.28,341,2,1,4,7,Potential Loyalists
10214,286.85,2,65,2010-06-30 10:18:00,2010-11-01 14:26:00,143.43,404,1,1,5,7,Potential Loyalists
10215,252.08,6,103,2009-12-11 09:38:00,2011-04-25 14:33:00,42.01,229,2,5,5,12,Loyal Customers
10216,101.84,3,30,2010-07-09 10:37:00,2011-10-19 14:46:00,33.95,52,4,3,3,10,Loyal Customers
10217,10.1,2,6,2010-12-15 20:52:00,2011-03-30 14:06:00,5.05,255,2,1,1,4,Lost
10219,432.25,5,117,2010-03-25 10:11:00,2011-08-15 10:22:00,86.45,117,3,5,5,13,Champions
10220,90.97,2,32,2009-12-07 14:58:00,2009-12-24 13:46:00,45.48,716,1,1,3,5,At Risk
10222,14.45,2,7,2010-03-18 14:45:00,2011-05-16 11:43:00,7.22,208,2,1,1,4,Lost
10223,686.34,7,189,2010-05-26 10:08:00,2011-09-19 09:51:00,98.05,82,4,5,5,14,Champions
10224,222.27,5,88,2010-01-05 15:24:00,2011-11-02 08:54:00,44.45,38,4,5,4,13,Champions
10225,151.46,3,51,2010-11-17 13:50:00,2011-06-09 14:51:00,50.49,184,3,3,4,10,Loyal Customers
10226,202.79000000000002,3,24,2011-03-16 15:47:00,2011-08-19 11:55:00,67.6,113,3,3,4,10,Loyal Customers
10227,156.96,3,74,2010-08-06 12:06:00,2011-06-13 16:51:00,52.32,179,3,3,4,10,Loyal Customers
10229,1.85,1,1,2010-05-21 09:54:00,2010-05-21 09:54:00,1.85,568,1,1,1,3,Lost
10230,139.41,4,61,2010-03-04 17:37:00,2011-11-18 09:36:00,34.85,22,5,4,3,12,Loyal Customers
10231,149.62,3,43,2010-03-31 09:44:00,2011-06-28 12:28:00,49.87,165,3,3,4,10,Loyal Customers
10232,86.56,1,33,2011-09-28 09:00:00,2011-09-28 09:00:00,86.56,73,4,1,3,8,Potential Loyalists
10233,27.6,2,12,2011-04-08 12:29:00,2011-05-13 13:58:00,13.8,211,2,1,1,4,Lost
10234,7.15,1,3,2010-10-27 09:51:00,2010-10-27 09:51:00,7.15,409,1,1,1,3,Lost
10235,21.75,1,5,2010-12-10 14:34:00,2010-12-10 14:34:00,21.75,365,2,1,1,4,Lost
10236,256.92,4,86,2009-12-09 10:40:00,2010-06-11 14:41:00,64.23,547,1,4,5,10,Loyal Customers
10238,181.7,4,49,2010-08-24 10:16:00,2011-11-18 09:38:00,45.42,22,5,4,4,13,Champions
10239,49.55,3,19,2010-07-26 12:20:00,2011-11-17 17:07:00,16.52,22,5,3,2,10,Loyal Customers
10240,101.3,2,36,2010-07-09 15:37:00,2011-07-22 14:04:00,50.65,141,3,1,3,7,Potential Loyalists
10241,8.24,2,2,2010-06-03 10:41:00,2010-07-14 14:53:00,4.12,514,1,1,1,3,Lost
10242,0.85,1,1,2009-12-24 08:40:00,2009-12-24 08:40:00,0.85,716,1,1,1,3,Lost
10243,73.7,1,41,2010-03-24 13:12:00,2010-03-24 13:12:00,73.7,626,1,1,2,4,Lost
10244,463.27,6,102,2010-06-30 12:21:00,2011-07-13 13:53:00,77.21,150,3,5,5,13,Champions
10245,132.6,1,44,2010-05-03 17:02:00,2010-05-03 17:02:00,132.6,585,1,1,3,5,At Risk
10246,29.36,4,14,2010-03-25 16:23:00,2011-10-17 14:46:00,7.34,54,4,4,1,9,Potential Loyalists
10247,205.3,3,76,2010-12-28 14:55:00,2011-05-06 07:06:00,68.43,218,2,3,4,9,Potential Loyalists
10248,368.24,2,156,2011-07-21 11:15:00,2011-09-08 14:42:00,184.12,93,4,1,5,10,Loyal Customers
10249,112.21,4,48,2010-05-12 10:55:00,2011-10-31 11:42:00,28.05,40,4,4,3,11,Loyal Customers
10250,22.41,2,11,2010-08-12 09:23:00,2011-01-04 12:51:00,11.2,340,2,1,1,4,Lost
10251,9.030000000000001,2,3,2009-12-11 13:05:00,2011-04-15 13:26:00,4.52,239,2,1,1,4,Lost
10252,86.36,3,50,2011-01-11 12:35:00,2011-12-06 11:43:00,28.79,4,5,3,3,11,Loyal Customers
10253,301.57,3,51,2010-03-19 13:57:00,2011-06-13 11:50:00,100.52,180,3,3,5,11,Loyal Customers
10254,131.19,4,55,2010-06-17 10:18:00,2011-11-21 10:31:00,32.8,19,5,4,3,12,Loyal Customers
10255,83.59,3,29,2009-12-11 15:03:00,2011-01-19 11:04:00,27.86,325,2,3,3,8,Potential Loyalists
